cod_mun,alpha_mun_mean,alpha_mun_lo,alpha_mun_hi,alpha_mun_range,nome_municipio
4109104,23281.189761661266,16447.168531139585,30143.742607490003,13696.574076350418,4109104
4109203,19620.488195503196,12877.657113211782,26217.943634434483,13340.2865212227,4109203
4109302,24232.72849192812,17796.451126581756,31073.952400584287,13277.50127400253,4109302
4109401,28332.010793272297,21639.069989681477,35048.18140213944,13409.111412457962,4109401
4109500,11532.620296412611,4881.829985936266,18109.685135099975,13227.855149163708,4109500
4109609,18573.85641027429,11926.141445398276,25382.218704979256,13456.07725958098,4109609
4109658,31404.191203861115,24972.16245848193,38057.74369669691,13085.581238214982,4109658
4109708,18824.530745592492,12234.127369089394,25300.248416344788,13066.121047255394,4109708
4109757,20079.899072118507,13466.264625453552,26795.22219030354,13328.957564849987,4109757
4109807,41590.371330166156,34998.58682251942,47995.97981881275,12997.392996293333,4109807
4109906,22480.949999625573,15940.060394440248,29027.355302861848,13087.2949084216,4109906
4110003,31526.47313345091,24888.91520989846,37917.69561861698,13028.780408718518,4110003
4110052,27001.88132521869,20373.2741120404,33597.028727042256,13223.754615001857,4110052
4110078,14386.211847124376,7740.642753410534,20987.576118346595,13246.93336493606,4110078
4110102,23067.87627703041,16618.39464518495,29542.60473681117,12924.210091626217,4110102
4110201,14212.5079122544,7542.85474734391,20855.25062793041,13312.3958805865,4110201
4110300,14946.917397496656,8158.74251444478,21795.499473810254,13636.756959365473,4110300
4110409,84716.25119658833,78091.50694845781,91357.71716650168,13266.210218043867,4110409
4110508,27369.012531308024,20862.932056068774,34096.93978854583,13234.007732477057,4110508
4110607,23411.3371552882,16665.849127228772,30149.766303551292,13483.91717632252,4110607
4110656,31942.417060138294,25378.135954169913,38376.83286866707,12998.696914497159,4110656
4110706,25606.72690581518,19018.510582062565,32461.50443091776,13442.993848855196,4110706
4110805,20753.3416709215,14117.186100167877,27406.137457827896,13288.951357660018,4110805
4110904,18171.363907053168,11420.616741453843,24809.9389127781,13389.322171324256,4110904
4110953,29462.09164605533,22581.401706386063,36511.01074642552,13929.609040039457,4110953
4111001,20221.855443599907,13513.790938841912,26935.518977859512,13421.7280390176,4111001
4111100,26250.376871132874,19394.830861199334,33164.65207438978,13769.821213190444,4111100
4111209,36810.41899271389,30396.7527444457,43373.85897396792,12977.106229522222,4111209
4111258,16691.195481334595,9969.07199407474,23319.420967562026,13350.348973487286,4111258
4111308,20528.935203109137,13800.228077579572,27284.960527565374,13484.732449985802,4111308
4111407,22819.57521006151,15906.405764162932,29641.117106959082,13734.71134279615,4111407
4111506,20635.35069057736,13831.989389238352,27647.70720886908,13815.717819630729,4111506
4111555,21475.328724727355,14653.581961195923,28341.46618486631,13687.884223670386,4111555
